fx,fy,fz,tx,ty,tz,t
0.417298,-0.0153698,0.312851,-0.000392727,0.00797406,0.00960177,345251
0.313279,0.0326156,0.311038,-0.00304979,0.0064977,0.00934169,346700
0.044055,0.0358741,0.299643,-0.00319345,-0.0053177,0.00935725,346983
-0.113243,0.101267,0.288956,-0.00550655,-0.00701489,0.00882311,348119
-0.334818,0.121536,0.274336,-0.00614871,-0.0114602,0.0102356,349576
-0.156876,0.0595473,0.311593,-0.00342545,-0.00365917,0.0102085,350933
-0.1855,0.063756,0.302404,-0.00429033,-0.00438945,0.00829059,350969
-0.128365,0.0140138,0.303863,-0.00204706,-0.00358174,0.00805402,352394
-0.0053754,-0.0534933,0.298151,-0.000168032,-0.00116768,0.00696058,353841
0.137693,0.0223881,0.330452,-0.00349738,0.00510382,0.00697404,354831
0.166748,-0.0387718,0.323792,6.10672e-05,0.00673034,0.00878081,355277
0.0205097,0.0089837,0.315942,-0.00191947,0.00392747,0.00855931,356716
-0.1218,0.127766,0.312611,-0.00661002,0.00192503,0.0076632,358141
-0.220805,0.18003,0.304153,-0.00890481,-0.00241881,0.00768321,358768
-0.386043,0.168463,0.290122,-0.00818817,-0.00635744,0.00991091,359599
-0.353768,0.143274,0.278189,-0.00726419,-0.00589221,0.00617176,361002
-0.293635,0.141435,0.280121,-0.00758166,-0.0055511,0.00728504,362465
-0.339553,0.128602,0.275723,-0.00701853,-0.0075656,0.00728395,362692
-0.239549,0.0825578,0.26935,-0.00502704,-0.0057214,0.00700189,363878
-0.240839,0.0714332,0.263432,-0.00443395,-0.00520961,0.00956665,365291
-0.27785,0.119073,0.259613,-0.00652548,-0.00683326,0.009582,366630
-0.397418,0.197775,0.263853,-0.00951489,-0.00951116,0.00852008,366726
-0.483634,0.280998,0.274442,-0.0133791,-0.0112029,0.00721639,368177
-0.503476,0.234332,0.274478,-0.0117334,-0.0128618,0.00983506,369623
-0.299102,0.088337,0.318906,-0.005322,-0.0039025,0.00978307,370597
-0.143391,0.0369561,0.323871,-0.00285404,-0.00147975,0.00726302,371048
0.0311084,0.0620908,0.339131,-0.00450418,0.00105758,0.00795047,372496
0.198819,0.038287,0.342266,-0.00335026,0.00431695,0.00691224,373880
0.0905976,0.0929588,0.325722,-0.00575119,-0.000429202,0.00693343,374522
0.124628,0.0586564,0.330548,-0.00335472,0.000854435,0.00867087,375306
0.0476558,0.124873,0.342219,-0.00693432,-0.000507283,0.00991903,376753
